,Equivalent Tag,f_reference,USAS Tags
183,M5,643,Flying and aircraft 
184,N5+,629,Quantities: many/much
185,A5.1-,624,Evaluation: Bad
186,E3+,623,Calm 
187,A5.1+,619,Evaluation: Good 
188,M8,610,Stationary
189,A12+,603,Easy 
190,L1,594,Life and living things
191,G2.1-,570,Crime 
192,A1,552,General And Abstract Terms
193,X2.5+,551,Understanding
194,A11.2+,546,Noticeable
195,A5.3+,544,Evaluation: Accurate
196,G2.2-,516,Unethical
197,N3.2,510,Measurement: Size 
198,S3.2,508,Relationship: Intimacy and sex
199,A1.2+,504,Suitable
200,A5.1,478,Evaluation: Good/bad
201,A7-,474,Unlikely
202,N6,463,Frequency
203,E2-,453,Dislike
204,A7,448,Probability
205,N3.3+,441,Distance: Far
206,A13.7,439,Degree: Minimizers
207,S1.2.5+,433,Tough/strong 
208,T4-,423,Time: Late
209,N3.1,413,Measurement: General
210,N6-,410,Infrequent
211,Q1.3,409,Telecommunications
212,G2.2+,405,Ethical
213,E2+,384,Like
214,N6+,378,Frequent
215,E1,373,Emotional Actions/ States And Processes General
216,A15-,370,Danger
217,X9.2-,369,Failure
218,T4+,367,Time: Early 
219,X7-,358,Unwanted
220,A1.9,354,Avoiding
221,E4.2+,352,Content
222,A5.3-,344,Evaluation: Inaccurate
223,X5.1+,344,Attentive
224,T1.3-,341,Time period: short
225,N3.8,340,Measurement: Speed
226,N3.5,338,Measurement: Weight
227,A5.2-,332,Evaluation: False
228,T4-,330,Time: Late
229,N3.4,325,Measurement: Volume
230,A11.1-,322,Unimportant
231,X3.2-,320,Sound: Quiet
232,S7.2+,316,Respected
233,K3,312,Recorded sound
234,N3.7-,310,Short and narrow
235,X2.3+,307,Learning
236,S7.4-,306,Not allowed
237,A1.3+,305,Cautious
238,O4.6-,303,Temperature: Cold     
239,O1.3,300,Substances and materials: Gas
240,I3.1-,296,Unemployed
241,T3+,295,Time: Old; grown-up
242,X5.2-,284,Uninterested/bored/unenergetic
243,S1.2.1+,280,Informal/Friendly
244,N3.8-,270,Speed: Slow
245,T3-,266,Time: New and young 
246,I3.2+,259,Professional
247,S1.2.1-,258,Formal/Unfriendly
248,X2.2-,252,No knowledge
249,A2.1-,250,No change
250,A1.6,248,Concrete/Abstract 
251,N3.2+,247,Size: Big 
252,E6+,245,Confident
253,I1.1-,242,Money: Lack
254,I1.1+,239,Money: Affluence
255,W5,225,Green issues
256,A1.8-,224,Exclusion
257,A1.5.2+,220,Useful
258,X2.5-,212,Not understanding
259,S7.3+,206,Competitive
260,S1.2.6+,204,Sensible
261,N3.7+,202,Long/ tall and wide
262,T3-,197,Time: New and young 
263,B2+,195,Healthy
264,S1.2.3+,191,Selfish
265,X3,188,Sensory
266,S1.2.6-,184,Foolish
267,N5-,182,Quantities: little
268,A4.2-,177,General 
269,X3.1,176,Sensory: Taste
270,A15+,166,Safe 
271,X1,158,Psychological Actions/ States And Processes
272,E4.2-,157,Discontent
273,N3.2+,157,Size: Big 
274,X9.1-,157,Inability/unintelligence
275,S6-,156,No obligation or necessity
276,A1.2,153,Suitability
277,O1.2-,151,Dry
278,T2+,150,Time: Beginning 
279,G2.2,147,General ethics
280,N3.8+,147,Speed: Fast
281,S1.2.5-,146,Weak
282,F3,135,Smoking and non-medical drugs
283,A7+,134,Likely
284,E5+,134,Bravery 
285,S7.1,132,Power/ organizing
286,X3.4-,131,Unseen
287,S1.2.2-,130,Generous
288,S1.2.4+,130,Polite
289,B2,129,Health and disease
290,N3.5-,126,Weight: Light
291,A11.2-,121,Unnoticeable
292,G2.1+,117,Lawful
293,K5,117,Sports and games generally
294,S1.1.3-,117,Non-participating
295,S1.2.2+,117,Greedy
296,A1.4+,115,Lucky
297,N3.5+,113,Weight: Heavy
298,S7.1+,111,In power 
299,O4.6,110,Temperature     
300,S1.2.4-,109,Impolite
301,X3.5,109,Sensory: Smell
302,X3.3,108,Sensory: Touch
303,K6,107,Children’s games and toys
304,A1.3,106,Caution
305,S7.3,103,Competition
306,X2.6-,100,Unexpected
307,N3.2-,97,Size: Small 
308,A11.1+,95,Important
309,A5.1-,94,Evaluation: Bad
310,L1+,93,Alive
311,N3.6,93,Measurement: Area
312,T3+,91,Time: Old; grown-up
313,X2.2,87,Knowledge
314,T1.3+,83,Time period: long
315,F1-,81,Lack of food
316,A1.7,75,Constraint
317,E2+,74,Like
318,A1.4-,73,Unlucky
319,S1.2,73,Personality traits
320,A1.5.2-,71,Useless
321,A12+,71,Easy 
322,K5.2,68,Games
323,X5.1-,68,Inattentive
324,N5-,65,Quantities: little
325,A1.2+,64,Suitable
326,I1.3+,64,Expensive
327,N3.3-,61,Distance: Near
328,N5.1,59,Entirety; maximum
329,N3.4-,58,Volume: Compressed
330,N3.7+,55,Long/ tall and wide
331,S4-,55,No kin
332,A5.1-,54,Evaluation: Bad
333,A6.3-,54,Comparing: Unvaried 
334,S1.1.4+,54,Deserving
335,X3.2+,53,Sound: Loud
336,X3.4+,53,Seen
337,X3.2+,52,Sound: Loud
338,F2+,51,Excessive drinking
339,X9.2,51,Success and failure
340,N3.4+,50,Volume: Inflated
341,G3-,48,Anti-war 
342,I3.2,48,Work and employment: Professionalism
343,O4.2,47,Judgement of appearance
344,T1.1,47,Time: General
345,X2,46,Mental actions and processes
346,S1.2.3-,42,Unselfish
347,X3-,40,
348,B5-,38,Without clothes 
349,X2.6,37,Expect
350,X6,37,Deciding
351,T2,35,Time: Beginning and ending
352,A11.1,34,Importance 
353,A2.1,34,Modify/ change
354,A6.1,32,Comparing: Similar/different
355,N3.3-,32,Distance: Near
356,Q2.1-,32,Speech: Not communicating
357,S7.2-,32,No respect
358,A12+,31,Easy 
359,G1.1-,31,Non-governmental
360,I3.2-,31,Unprofessional
361,N5.1-,31,Part
362,X9.1,31,Ability and intelligence
363,S1.1.2-,29,Unilateral
364,S3,29,Relationship
365,A11.1+,28,Important
366,S7.1-,28,No power 
367,A1.2-,27,Unsuitable
368,N3.6+,27,Spacious
369,X9.1+,27,Able/intelligent
370,E1-,24,Unemotional 
371,I1.3-,24,Cheap
372,N3.7-,24,Short and narrow
373,S1.2.5+,24,Tough/strong 
374,X2.1-,24,Without thinking
375,A1.5.1+,22,Used
376,A1.5.2,22,Usefulness
377,E3,22,Calm/Violent/Angry
378,X5.1+,22,Attentive
379,S1.1.4,21,Deserve
380,A1.5.1-,20,Unused
381,N3,20,Measurement
382,A2.2-,19,Unconnected
383,E2,19,Liking
384,S1.2.5+,19,Tough/strong 
385,N3.2-,18,Size: Small 
386,T1.3+,18,Time period: long
387,N3.8+,17,Speed: Fast
388,S7.4,17,Permission
389,F2-,16,Not drinking
390,I1.1+,15,Money: Affluence
391,N3.8+,15,Speed: Fast
392,S1.2.5-,15,Weak
393,A3-,14,Non-existing
394,A1.3-,13,No caution
395,A10+,13,Open; Finding; Showing
396,A5.2,13,Evaluation: True/false
397,S7.3-,13,No competition
398,X5.2+,13,Interested/excited/energetic
399,A8+,11,Seem
400,A9,11,Getting and giving; possession
401,E4.1+,11,Happy 
402,N3.5-,11,Weight: Light
403,A11.1-,10,Unimportant
404,A5,10,Evaluation
405,H4-,10,Non-resident
406,N3.7-,10,Short and narrow
407,T4,10,Time: Early/late
408,X8+,10,Trying hard
409,A13.3+,9,Degree: Boosters
410,A4.2-,9,General 
411,A5.1+,9,Evaluation: Good 
