Egu,Enw gwrywaidd unigol
Rhamedd1ll,"Rhagenw meddiannol, pers. 1af. lluosog"
Rhamedd2ll,"Rhagenw meddiannol, 2il pers. lluosog"
Rhamedd3ll,"Rhagenw meddiannol, 3ydd pers. lluosog"
Rhacys1u,Rhagenw cysylltiol pers. 1af. unigol
Rhacys2u,"Rhagenw cysylltiol, 2il pers. unigol"
Rhacys3gu,"Rhagenw cysylltiol, 3ydd pers. gwrywaidd unigol"
Rhacys3bu,"Rhagenw cysylltiol, 3ydd pers. benywaidd unigol"
Rhacys1ll,"Rhagenw cysylltiol, pers. 1af. lluosog"
Rhacys2ll,"Rhagenw cysylltiol, 2il pers. lluosog"
Rhacys3ll,"Rhagenw cysylltiol, 3ydd pers. lluosog"
Rhagof,Rhagenw gofynnol
Rhadangg,Rhagenw dangosol gwrywaidd
Rhadangb,Rhagenw dangosol benywaidd
Rhadangd,Rhagenw dangosol diryw
Rhaperth,Rhagenw perthynol
Rhaatb,Rhagenw atblygol
Rhacil,Rhagenw cilyddol
Uneg,Unigryw – geirynnau negyddol
Ucad,Unigryw – geirynnau cadarnhaol
Ugof,Unigryw – geirynnau gofynnol
Utra,Unigryw – geirynnau traethiadol
Uberf,Unigryw - geirynnau berfol
Ebych,Ebychiad
Gwest,Gweddilliol - estron
Gwfform,Gweddilliol - fformiwla
Gwsym,Gweddilliol - symbol
Gwacr,Gweddilliol - acronym
Gwtalf,Gweddilliol - talfyriad
Gwdig,Gweddilliol - digid
Gwllyth,Gweddilliol - llythyren
Gwrhuf,Gweddilliol – rhifolyn Rhufeinig
Gwann,Gweddilliol - annosbarthedig
Atdt,Marc Atalnodi terfynol
Atdcan,Marc Atalnodi canolig
Atdchw,"Marc Atalnodi, chwith"
Atdde,"Marc Atalnodi, de"
Atdcys,"Marc Atalnodi, cysylltnod"
Atddyf,"Marc Atalnodi, dyfynnod"
